problem_id;pl;country;score
0;c;India;15.00;2100
0;c;Germany;15.00;6
0;c;Republic of Korea;15.00;8
0;c;United Kingdom;15.00;5
0;c;Indonesia;15.00;20
0;c;Bulgaria;15.00;3
0;c;United States;15.00;42
0;c;Brazil;15.00;8
0;c;Sri Lanka;15.00;13
0;c;Egypt;15.00;36
0;c;China;15.00;5
0;c;Canada;15.00;7
0;c;France;15.00;10
0;c;Romania;15.00;8
0;c;Bangladesh;15.00;40
0;c;Null;15.00;17
0;c;Israel;15.00;2
0;c;Dominican Republic;15.00;1
0;c;South Korea;15.00;5
0;c;Malaysia;15.00;3
0;c;Turkey;15.00;18
0;c;Vietnam;15.00;13
0;c;Australia;15.00;5
0;c;Mexico;15.00;6
0;c;Czech Republic;15.00;1
0;c;Spain;15.00;3
0;c;Taiwan;15.00;7
0;c;Finland;15.00;2
0;c;Poland;15.00;2
0;c;Singapore;15.00;5
0;c;Argentina;15.00;3
0;c;Venezuela;15.00;1
0;c;New Zealand;15.00;1
0;c;Greece;15.00;1
0;c;Russian Federation;15.00;2
0;c;Russia;15.00;3
0;c;Sweden;15.00;2
0;c;Latvia;15.00;1
0;c;Serbia;15.00;2
0;c;Colombia;15.00;1
0;c;Italy;15.00;2
0;c;Morocco;15.00;3
0;c;Ireland;15.00;1
0;c;Kazakhstan;15.00;1
0;c;Viet Nam;15.00;6
0;c;Portugal;15.00;3
0;c;Uzbekistan;15.00;1
0;c;Azerbaijan;15.00;18
0;c;Philippines;15.00;3
0;c;Belgium;15.00;1
0;c;Korea, Republic of;15.00;2
0;c;Ethiopia;15.00;2
0;c;Nepal;15.00;29
0;c;Hungary;15.00;2
0;c;Kenya;15.00;2
0;c;Nigeria;15.00;1
0;c;Bhutan;15.00;1
0;c;Republic of Moldova;15.00;1
0;c;Andorra;15.00;1
0;c;Switzerland;15.00;1
0;c;Mongolia;15.00;1
0;c;India;13.50;40
0;c;South Korea;13.50;1
0;c;Bhutan;13.50;1
0;c;Egypt;13.50;4
0;c;China;13.50;1
0;c;India;13.35;12
0;c;United States;13.35;1
0;c;Null;13.35;1
0;c;Indonesia;13.35;1
0;c;Slovakia;13.35;1
0;c;India;13.20;32
0;c;France;13.20;1
0;c;Brazil;13.20;1
0;c;Singapore;13.20;2
0;c;Indonesia;13.20;1
0;c;India;11.70;90
0;c;Bangladesh;11.70;2
0;c;Indonesia;11.70;4
0;c;Null;11.70;1
0;c;United States;11.70;1
0;c;Bulgaria;11.70;1
0;c;Mexico;11.70;1
0;c;India;10.50;86
0;c;Indonesia;10.50;4
0;c;Null;10.50;3
0;c;France;10.50;1
0;c;Bangladesh;10.50;1
0;c;United States;10.50;1
0;c;Egypt;10.50;1
0;c;Vietnam;10.50;1
0;c;Pakistan;10.50;1
0;c;Taiwan;10.50;1
0;c;India;09.90;95
0;c;Egypt;09.90;1
0;c;Bangladesh;09.90;1
0;c;Indonesia;09.90;1
0;c;Morocco;09.90;2
0;c;India;00.00;86
0;c;Sri Lanka;00.00;1
0;c;Vietnam;00.00;1
0;c;Azerbaijan;00.00;1
0;c;United States;00.00;2
0;c;Greece;00.00;2
0;c;Bangladesh;00.00;2
0;c;United Arab Emirates;00.00;1
0;c;Turkey;00.00;1
0;c;Germany;00.00;1
0;c;Null;00.00;1
0;c;Viet Nam;00.00;1
0;cpp;United States;15.00;278
0;cpp;Tunisia;15.00;3
0;cpp;India;15.00;3098
0;cpp;Italy;15.00;16
0;cpp;Null;15.00;38
0;cpp;Bangladesh;15.00;67
0;cpp;Georgia;15.00;19
0;cpp;China;15.00;20
0;cpp;Germany;15.00;43
0;cpp;Bulgaria;15.00;7
0;cpp;Sweden;15.00;3
0;cpp;Russia;15.00;15
0;cpp;Czech Republic;15.00;7
0;cpp;Romania;15.00;34
0;cpp;Vietnam;15.00;77
0;cpp;Russian Federation;15.00;36
0;cpp;Israel;15.00;9
0;cpp;Turkey;15.00;34
0;cpp;United Kingdom;15.00;45
0;cpp;Poland;15.00;33
0;cpp;Spain;15.00;5
0;cpp;Taiwan;15.00;23
0;cpp;Greece;15.00;7
0;cpp;Japan;15.00;16
0;cpp;Indonesia;15.00;69
0;cpp;Côte d'Ivoire;15.00;1
0;cpp;Australia;15.00;18
0;cpp;Brazil;15.00;11
0;cpp;Nepal;15.00;4
0;cpp;Singapore;15.00;16
0;cpp;Canada;15.00;53
0;cpp;Ireland;15.00;4
0;cpp;Chile;15.00;5
0;cpp;South Africa;15.00;3
0;cpp;Viet Nam;15.00;63
0;cpp;Republic of Korea;15.00;10
0;cpp;Pakistan;15.00;18
0;cpp;Ukraine;15.00;9
0;cpp;Mexico;15.00;16
0;cpp;Argentina;15.00;8
0;cpp;Peru;15.00;3
