problem_id;pl;country;score
0;c;United States;15.00;59
0;c;Turkey;15.00;5
0;c;Canada;15.00;8
0;c;India;15.00;549
0;c;Germany;15.00;3
0;c;Sweden;15.00;2
0;c;Israel;15.00;2
0;c;Greece;15.00;3
0;c;China;15.00;2
0;c;Australia;15.00;4
0;c;Romania;15.00;4
0;c;Taiwan;15.00;4
0;c;Republic of Korea;15.00;2
0;c;South Korea;15.00;1
0;c;Czech Republic;15.00;1
0;c;Portugal;15.00;1
0;c;Null;15.00;5
0;c;Ukraine;15.00;2
0;c;Brazil;15.00;4
0;c;Russia;15.00;2
0;c;Russian Federation;15.00;3
0;c;Argentina;15.00;1
0;c;United Kingdom;15.00;5
0;c;Egypt;15.00;5
0;c;Finland;15.00;1
0;c;Singapore;15.00;1
0;c;France;15.00;1
0;c;Uganda;15.00;1
0;c;South Africa;15.00;1
0;c;Poland;15.00;2
0;c;Bulgaria;15.00;1
0;c;Indonesia;15.00;1
0;c;Italy;15.00;3
0;c;Angola;15.00;1
0;c;Malaysia;15.00;1
0;c;Jersey;15.00;1
0;c;Spain;15.00;1
0;c;Hungary;15.00;1
0;c;Denmark;15.00;1
0;c;Nepal;15.00;1
0;c;Bangladesh;15.00;2
0;c;Mexico;15.00;1
0;c;Japan;15.00;1
0;c;India;03.00;76
0;c;Greece;03.00;2
0;c;Egypt;03.00;1
0;c;United States;03.00;15
0;c;Canada;03.00;1
0;c;Null;03.00;2
0;c;South Korea;03.00;1
0;c;Poland;03.00;1
0;c;Argentina;03.00;1
0;c;India;00.00;262
0;c;Bangladesh;00.00;3
0;c;Indonesia;00.00;3
0;c;Null;00.00;5
0;c;Singapore;00.00;2
0;c;Vietnam;00.00;2
0;c;Latvia;00.00;1
0;c;Portugal;00.00;1
0;c;Croatia;00.00;1
0;c;Egypt;00.00;2
0;c;United States;00.00;7
0;c;Republic of Korea;00.00;1
0;c;China;00.00;2
0;c;Turkey;00.00;1
0;c;Brazil;00.00;1
0;c;Canada;00.00;2
0;c;Viet Nam;00.00;1
0;c;Azerbaijan;00.00;1
0;c;Spain;00.00;1
0;c;Russia;00.00;1
0;cpp;China;15.00;41
0;cpp;India;15.00;1946
0;cpp;Poland;15.00;24
0;cpp;United States;15.00;394
0;cpp;Sweden;15.00;9
0;cpp;Null;15.00;37
0;cpp;France;15.00;8
0;cpp;United Kingdom;15.00;38
0;cpp;Lithuania;15.00;1
0;cpp;Turkey;15.00;24
0;cpp;Netherlands;15.00;10
0;cpp;Russia;15.00;9
0;cpp;Canada;15.00;45
0;cpp;Singapore;15.00;13
0;cpp;Vietnam;15.00;45
0;cpp;Armenia;15.00;5
0;cpp;Serbia;15.00;7
0;cpp;Hungary;15.00;6
0;cpp;Russian Federation;15.00;12
0;cpp;Italy;15.00;7
0;cpp;Israel;15.00;12
0;cpp;Germany;15.00;26
0;cpp;Brazil;15.00;17
0;cpp;Slovakia;15.00;1
0;cpp;Philippines;15.00;5
0;cpp;Ukraine;15.00;5
0;cpp;Taiwan;15.00;13
0;cpp;Albania;15.00;1
0;cpp;Republic of Korea;15.00;16
0;cpp;Romania;15.00;14
0;cpp;Viet Nam;15.00;21
0;cpp;Mexico;15.00;13
0;cpp;Japan;15.00;12
0;cpp;Bangladesh;15.00;28
0;cpp;Iran;15.00;1
0;cpp;Spain;15.00;6
0;cpp;Pakistan;15.00;4
0;cpp;Switzerland;15.00;8
0;cpp;Egypt;15.00;32
0;cpp;Colombia;15.00;7
0;cpp;Latvia;15.00;2
0;cpp;Croatia;15.00;1
0;cpp;Korea, Republic of;15.00;6
0;cpp;Norway;15.00;2
0;cpp;Australia;15.00;5
0;cpp;Bulgaria;15.00;8
0;cpp;Thailand;15.00;3
0;cpp;Republic of Lithuania;15.00;1
0;cpp;Argentina;15.00;5
0;cpp;Finland;15.00;4
0;cpp;Peru;15.00;5
0;cpp;Kazakhstan;15.00;13
0;cpp;Nepal;15.00;6
0;cpp;Saudi Arabia;15.00;2
0;cpp;Chile;15.00;2
0;cpp;South Korea;15.00;7
0;cpp;Azerbaijan;15.00;14
0;cpp;Portugal;15.00;5
0;cpp;Sri Lanka;15.00;11
0;cpp;Greece;15.00;4
0;cpp;Czechia;15.00;3
0;cpp;Indonesia;15.00;19
0;cpp;Kenya;15.00;1
0;cpp;Mongolia;15.00;4
0;cpp;New Zealand;15.00;2
0;cpp;Ireland;15.00;3
0;cpp;Hashemite Kingdom of Jordan;15.00;1
0;cpp;United Arab Emirates;15.00;1
0;cpp;Morocco;15.00;6
0;cpp;Europe;15.00;1
0;cpp;Lebanon;15.00;4
0;cpp;Oman;15.00;1
0;cpp;Denmark;15.00;2
0;cpp;Jordan;15.00;1
0;cpp;Bosnia and Herzegovina;15.00;1
0;cpp;Georgia;15.00;1
0;cpp;Costa Rica;15.00;1
0;cpp;Belarus;15.00;1
0;cpp;Austria;15.00;2
0;cpp;Belgium;15.00;1
0;cpp;Iceland;15.00;1
0;cpp;Malaysia;15.00;1
0;cpp;Moldova, Republic of;15.00;1
0;cpp;Nigeria;15.00;1
0;cpp;Hong Kong;15.00;2
0;cpp;Paraguay;15.00;2
0;cpp;Uzbekistan;15.00;1
0;cpp;Bolivia\r\nBolivia, Plurinational state of;15.00;1
0;cpp;Luxembourg;15.00;1
0;cpp;Cuba;15.00;1
0;cpp;Tunisia;15.00;1
0;cpp;Andorra;15.00;1
0;cpp;South Africa;15.00;1
0;cpp;India;04.50;70
0;cpp;United States;04.50;15
0;cpp;Canada;04.50;3
0;cpp;Vietnam;04.50;1
0;cpp;Brazil;04.50;1
0;cpp;Colombia;04.50;1
0;cpp;Null;04.50;1
0;cpp;Iran;04.50;1
0;cpp;Poland;04.50;1
0;cpp;Bangladesh;04.50;2
0;cpp;Russia;04.50;1
0;cpp;United Kingdom;04.50;1
0;cpp;Taiwan;04.50;1
0;cpp;Egypt;04.50;1
0;cpp;India;00.00;284
0;cpp;Azerbaijan;00.00;2
0;cpp;China;00.00;5
0;cpp;Mexico;00.00;4
0;cpp;Spain;00.00;2
0;cpp;United States;00.00;41
0;cpp;Indonesia;00.00;7
0;cpp;Canada;00.00;7
0;cpp;Kazakhstan;00.00;3
0;cpp;Null;00.00;3
0;cpp;South Korea;00.00;1
0;cpp;Bangladesh;00.00;5
0;cpp;Viet Nam;00.00;4
0;cpp;Vietnam;00.00;2
0;cpp;Turkey;00.00;3
0;cpp;New Zealand;00.00;1
0;cpp;Denmark;00.00;2
0;cpp;Israel;00.00;2
0;cpp;Egypt;00.00;2
0;cpp;Singapore;00.00;2
0;cpp;Brazil;00.00;2
0;cpp;Poland;00.00;1
0;cpp;Pakistan;00.00;3
0;cpp;Italy;00.00;1
0;cpp;Sri Lanka;00.00;2
0;cpp;Ukraine;00.00;1
0;cpp;Germany;00.00;2
0;cpp;Australia;00.00;1
0;cpp;Republic of Korea;00.00;1
0;cpp;Greece;00.00;1
0;cpp;Romania;00.00;1
0;cpp;Philippines;00.00;1
0;cpp;Malaysia;00.00;1
0;java;United States;15.00;281
0;java;India;15.00;718
0;java;Canada;15.00;27
0;java;Brazil;15.00;11
0;java;Japan;15.00;2
0;java;United Kingdom;15.00;17
0;java;Taiwan;15.00;4
0;java;Netherlands;15.00;4
0;java;Null;15.00;15
0;java;Mexico;15.00;10
0;java;Germany;15.00;8
0;java;Qatar;15.00;1
0;java;Singapore;15.00;11
0;java;China;15.00;6
0;java;Chile;15.00;3
0;java;Russian Federation;15.00;5
0;java;Republic of Korea;15.00;9
0;java;Vietnam;15.00;14
0;java;Hungary;15.00;3
0;java;Hong Kong;15.00;4
0;java;Spain;15.00;6
0;java;Israel;15.00;1
0;java;Poland;15.00;4
0;java;France;15.00;7
0;java;Greece;15.00;2
0;java;Argentina;15.00;2
0;java;Philippines;15.00;4
0;java;Italy;15.00;9
0;java;Romania;15.00;3
0;java;Turkey;15.00;10
0;java;Belarus;15.00;3
0;java;Austria;15.00;2
0;java;Colombia;15.00;1
0;java;Russia;15.00;3
0;java;Egypt;15.00;9
0;java;Estonia;15.00;1
0;java;Australia;15.00;11
0;java;Finland;15.00;2
0;java;Morocco;15.00;2
0;java;Indonesia;15.00;6
0;java;United Arab Emirates;15.00;3
0;java;South Africa;15.00;2
0;java;Serbia;15.00;1
0;java;Lebanon;15.00;3
0;java;Malaysia;15.00;3
0;java;Iran;15.00;1
0;java;Peru;15.00;1
0;java;Pakistan;15.00;4
0;java;Denmark;15.00;1
0;java;Switzerland;15.00;2
0;java;Norway;15.00;1
0;java;Ireland;15.00;4
0;java;Bulgaria;15.00;2
0;java;Bangladesh;15.00;3
0;java;中国;15.00;1
0;java;Azerbaijan;15.00;3
0;java;Kenya;15.00;2
0;java;Sweden;15.00;1
0;java;South Korea;15.00;2
0;java;Sri Lanka;15.00;3
0;java;Luxembourg;15.00;1
0;java;Slovenia;15.00;1
0;java;Ukraine;15.00;1
0;java;Moldova;15.00;1
0;java;Bhutan;15.00;1
0;java;Czech Republic;15.00;1
0;java;Syrian Arab Republic;15.00;1
0;java;Thailand;15.00;1
0;java;Nepal;15.00;3
0;java;Mongolia;15.00;4
0;java;Saudi Arabia;15.00;1
0;java;United States;04.50;31
0;java;Null;04.50;4
0;java;India;04.50;43
0;java;Denmark;04.50;1
0;java;Canada;04.50;1
0;java;Egypt;04.50;2
0;java;Turkey;04.50;2
0;java;Republic of Korea;04.50;1
0;java;Brazil;04.50;1
0;java;Asia/Pacific Region;04.50;1
0;java;Puerto Rico;04.50;1
0;java;Nigeria;04.50;1
0;java;Taiwan;04.50;1
0;java;Switzerland;04.50;1
0;java;Ukraine;04.50;1
0;java;Luxembourg;04.50;1
0;java;Netherlands;04.50;1
0;java;Bangladesh;04.50;1
0;java;Israel;04.50;1
0;java;Japan;04.50;1
0;java;Romania;04.50;1
0;java;United Kingdom;04.50;1
0;java;China;04.50;1
0;java;United States;00.00;38
0;java;India;00.00;122
0;java;Vietnam;00.00;6
0;java;Romania;00.00;1
0;java;Canada;00.00;4
0;java;South Korea;00.00;1
0;java;Turkey;00.00;1
0;java;Germany;00.00;3
0;java;Sri Lanka;00.00;1
0;java;Spain;00.00;2
0;java;Viet Nam;00.00;1
0;java;Null;00.00;1
0;java;Norway;00.00;1
0;java;Netherlands;00.00;1
0;java;Australia;00.00;1
0;java;Republic of Korea;00.00;2
0;java;Egypt;00.00;2
0;java;Korea, Republic of;00.00;1
0;java;Lebanon;00.00;2
0;java;Taiwan;00.00;2
0;java;Hong Kong;00.00;1
0;java;United Kingdom;00.00;1
0;java;Poland;00.00;1
0;java;Morocco;00.00;2
0;java;Mexico;00.00;1
0;java;Bangladesh;00.00;1
0;csharp;United States;15.00;203
0;csharp;Poland;15.00;9
0;csharp;India;15.00;76
0;csharp;Slovakia;15.00;2
0;csharp;United Kingdom;15.00;35
0;csharp;Sweden;15.00;5
0;csharp;Israel;15.00;3
0;csharp;Australia;15.00;13
0;csharp;Canada;15.00;17
0;csharp;Armenia;15.00;1
0;csharp;Pakistan;15.00;8
0;csharp;Germany;15.00;9
0;csharp;Belarus;15.00;5
0;csharp;Indonesia;15.00;6
0;csharp;Belgium;15.00;3
0;csharp;Italy;15.00;7
0;csharp;Netherlands;15.00;8
0;csharp;Hungary;15.00;7
0;csharp;Brazil;15.00;12
0;csharp;Syrian Arab Republic;15.00;1
0;csharp;Denmark;15.00;2
0;csharp;Romania;15.00;11
0;csharp;Argentina;15.00;3
